Loan_Id,Bank_Name,Loan_Type,Interest_Rate,Age,Gender,Annual_Income,Monthly_Emi,Years_of_Credit_History,Credit_Score,Loan_Amount,Tenure,Margin,Processing_Fee,Rating
2070,PNB,Home,7.4,58,0,258077,2710,18.1,805,4908000,30,80,17178,4
2071,PNB,Education,9.3,24,0,2903181,2951,18.9,811,2960000,15,85,29600,4
2072,PNB,Education,9.3,57,0,1372617,28024,16.9,804,3454000,15,85,34540,4
2073,PNB,Education,9.3,52,0,2043811,39003,17,803,4088000,15,85,40880,4
2074,PNB,Automobile,9.25,37,0,3793407,97996,25.8,791,482900,7,85,0,4
2075,PNB,Automobile,9.25,24,1,1853260,27799,13,811,367600,7,85,0,4
2076,PNB,Home,7.4,24,0,1585664,28278,21.7,818,3908000,30,80,13678,4
2077,PNB,Education,9.3,30,1,5587710,53083,12.4,773,4798000,15,85,47980,4
2078,PNB,Home,7.4,49,0,2655478,17659,15.8,802,3838000,30,80,13433,4
2079,PNB,Education,9.3,49,1,989748,12537,15.2,802,4106000,15,85,41060,4
2080,PNB,Education,9.3,48,0,2735506,38297,19.9,803,4539000,15,85,45390,4
2081,PNB,Automobile,9.25,29,0,1318353,9613,29.5,818,393500,7,85,0,4
2082,PNB,Home,7.4,29,1,522842,6841,26,816,3304000,30,80,11564,4
2083,PNB,Education,9.3,40,0,676039,11476,17.5,768,2838000,15,85,28380,4
2084,PNB,Education,9.3,42,0,742710,15225,22.7,744,3506000,15,85,35060,4
2085,PNB,Automobile,9.25,50,0,844398,18999,16.7,779,366400,7,85,0,4
2086,PNB,Automobile,9.25,29,1,1310582,17911,13,793,452700,7,85,0,4
2087,PNB,Automobile,9.25,38,1,947397,23369,10,812,348100,7,85,0,4
2088,PNB,Automobile,9.25,41,0,1842544,19040,16.3,704,420700,7,85,0,4
2089,PNB,Automobile,9.25,48,1,1357037,14249,15,797,560000,7,85,0,4
2090,PNB,Automobile,9.25,29,0,1504344,11646,20.9,817,349300,7,85,0,4
2091,PNB,Home,7.4,36,1,806873,16137,15.8,801,3359000,30,80,11756.5,4
2092,PNB,Automobile,9.25,48,1,673056,3808,5.9,699,506000,7,85,0,4
2093,PNB,Home,7.4,27,0,353894,3303,11.3,811,3173000,30,80,11105.5,4
2094,PNB,Automobile,9.25,55,0,1081727,1848,22.3,769,297200,7,85,0,4
2095,PNB,Home,7.55,41,1,1414892,8360,23,763,2996000,30,80,10486,4
2096,PNB,Education,9.3,41,0,456551,2207,21.5,776,4176000,15,85,41760,4
2097,PNB,Automobile,9.25,46,1,1258959,14688,11.4,749,449300,7,85,0,4
2098,PNB,Education,9.3,59,0,4174642,30301,22.4,805,9030000,15,85,90300,4
2099,PNB,Home,7.55,44,1,2322864,9195,14.6,799,3865000,30,80,13527.5,4
2100,PNB,Home,7.55,48,1,1508448,4789,14.1,776,2832000,30,80,9912,4
2101,PNB,Education,9.3,56,1,455183,10469,12.6,801,2999000,15,85,29990,4
2102,PNB,Home,7.4,43,1,1204372,15175,30,820,4115000,30,80,14402.5,4
2103,PNB,Home,7.4,49,1,950570,26061,14.9,810,3734000,30,80,13069,4
2104,PNB,Home,7.55,26,0,1771237,24059,24.2,758,4134000,30,80,14469,4
2105,PNB,Home,7.4,31,1,952052,4403,22.3,808,2814000,30,80,9849,4
2106,PNB,Education,9.3,51,1,2618504,17151,17.5,815,3487000,15,85,34870,4
2107,PNB,Automobile,9.25,48,1,649040,13251,16.1,812,362400,7,85,0,4
2108,PNB,Home,7.55,41,1,962350,8581,17,785,2829000,30,80,9901.5,4
2109,PNB,Home,7.55,26,0,895945,15605,15.4,780,4847000,30,80,16964.5,4
2110,PNB,Education,9.3,36,0,996892,19190,12.8,793,3512000,15,85,35120,4
2111,PNB,Automobile,9.25,38,0,1457395,19821,16.1,719,447800,7,85,0,4
2112,PNB,Automobile,9.25,52,1,425942,6460,19.7,813,292600,7,85,0,4
2113,PNB,Automobile,9.25,32,0,1669473,9154,13.2,791,478900,7,85,0,4
2114,PNB,Education,9.3,29,1,1124116,17330,12.5,797,2829000,15,85,28290,4
2115,PNB,Education,9.3,27,1,768968,18391,19,742,3314000,15,85,33140,4
2116,PNB,Education,9.3,55,0,546991,12171,17.7,771,5213000,15,85,52130,4
2117,PNB,Automobile,9.25,41,1,3737680,59803,21,797,434400,7,85,0,4
2118,PNB,Education,9.3,43,0,933793,19065,12,781,3664000,15,85,36640,4
2119,PNB,Automobile,9.25,29,0,1636223,28907,22.6,726,479500,7,85,0,4
2120,PNB,Automobile,9.25,44,1,987506,10204,23.8,812,402400,7,85,0,4
2121,PNB,Home,7.4,34,1,2245572,30315,39.8,802,5768000,30,80,20188,4
2122,PNB,Home,7.55,58,1,406429,8975,12,793,5365000,30,80,18777.5,4
2123,PNB,Automobile,9.25,41,0,1341438,8775,16.9,805,331000,7,85,0,4
2124,PNB,Education,9.3,45,0,1484128,12615,25.5,794,4121000,15,85,41210,4
2125,PNB,Automobile,9.25,25,0,570627,190,12.2,805,322200,7,85,0,4
2126,PNB,Automobile,9.25,25,1,3250026,16792,21.6,805,384700,7,85,0,4
2127,PNB,Education,9.3,32,0,813238,11047,20.9,821,3890000,15,85,38900,4
2128,PNB,Education,9.3,35,1,763496,9925,20,783,3841000,15,85,38410,4
2129,PNB,Education,9.3,53,1,847058,21882,15.4,744,3454000,15,85,34540,4
2130,PNB,Automobile,9.25,52,1,949943,752,13,774,382900,7,85,0,4
2131,PNB,Education,9.3,42,0,859370,11673,13.6,779,2835000,15,85,28350,4
2132,PNB,Automobile,9.25,51,0,891841,13229,12.6,786,381000,7,85,0,4
2133,PNB,Education,9.3,29,1,1521520,6099,16.2,810,4969000,15,85,49690,4
2134,PNB,Automobile,9.25,27,0,1276078,17333,29.9,807,467900,7,85,0,4
2135,PNB,Home,7.4,54,1,851751,7169,19.9,811,3499000,30,80,12246.5,4
2136,PNB,Home,7.55,57,1,657685,4100,13.9,762,3146000,30,80,11011,4
2137,PNB,Education,9.3,32,0,2150762,19895,16.3,819,3310000,15,85,33100,4
2138,PNB,Education,9.3,58,1,1679904,24499,18.1,813,3487000,15,85,34870,4
2139,PNB,Automobile,9.25,48,1,657286,10078,12.7,793,332300,7,85,0,4
2140,PNB,Automobile,9.25,30,0,1191699,5641,20.2,769,281700,7,85,0,4
2141,PNB,Home,7.55,55,1,1092101,17292,12.3,774,3807000,30,80,13324.5,4
2142,PNB,Automobile,9.25,37,1,1765404,53992,19,776,357600,7,85,0,4
2143,PNB,Home,7.4,36,1,2334948,23933,20.6,818,4420000,30,80,15470,4
2144,PNB,Home,7.55,44,0,1158696,3148,13.1,788,3179000,30,80,11126.5,4
2145,PNB,Automobile,9.25,46,1,896857,7773,24.4,774,292600,7,85,0,4
2146,PNB,Automobile,9.25,25,0,1412175,17652,7.5,747,449300,7,85,0,4
2147,PNB,Home,7.55,51,1,421762,7310,14,759,2972000,30,80,10402,4
2148,PNB,Automobile,9.25,43,0,649306,5135,9.2,789,299000,7,85,0,4
2149,PNB,Automobile,9.25,31,1,1127346,6557,16.5,799,370700,7,85,0,4
2150,PNB,Home,7.8,57,1,3254852,37431,25.4,750,3350000,30,80,11725,4
2151,PNB,Home,7.55,58,1,1580401,21862,11.3,771,3826000,30,80,13391,4
2152,PNB,Home,7.55,41,0,1574093,10665,15.7,789,3432000,30,80,12012,4
2153,PNB,Automobile,9.25,48,0,2661064,58987,29.5,822,307000,7,85,0,4
2154,PNB,Education,9.3,29,1,1631473,13188,15.9,767,3310000,15,85,33100,4
2155,PNB,Automobile,9.25,52,1,483322,9545,8.7,751,317900,7,85,0,4
2156,PNB,Home,7.4,35,1,955605,17758,15.4,802,3509000,30,80,12281.5,4
2157,PNB,Education,9.3,50,1,2230980,37927,15.8,711,3341000,15,85,33410,4
2158,PNB,Home,7.4,36,0,448210,11877,21.8,808,5243000,30,80,18350.5,4
2159,PNB,Automobile,9.25,36,0,1149006,26619,22.2,764,339000,7,85,0,4
2160,PNB,Home,7.55,48,0,907839,18838,11.1,773,3621000,30,80,12673.5,4
2161,PNB,Education,9.3,53,1,1134072,29769,9.7,782,3832000,15,85,38320,4
2162,PNB,Home,7.4,27,0,2557457,19906,22,814,6496000,30,80,22736,4
2163,PNB,Home,7.55,39,1,904058,13712,16.6,778,3030000,30,80,10605,4
2164,PNB,Automobile,9.25,54,0,922678,20222,15.8,781,380100,7,85,0,4
2165,PNB,Home,7.55,26,0,1050757,27845,31.6,797,4051000,30,80,14178.5,4
2166,PNB,Education,9.3,47,1,685976,10004,36.5,786,2835000,15,85,28350,4
2167,PNB,Automobile,9.25,27,0,1437255,11750,14.7,813,337800,7,85,0,4
2168,PNB,Education,9.3,51,0,988874,13597,17,781,3307000,15,85,33070,4
2169,PNB,Education,9.3,29,1,1847655,14597,15.2,732,3164000,15,85,31640,4
2170,PNB,Education,9.3,27,1,1833538,36060,17.8,807,2993000,15,85,29930,4
2171,PNB,Home,7.55,25,1,2917317,14319,38.3,763,4902000,30,80,17157,4
2172,PNB,Home,7.55,55,0,2170370,33279,12.9,793,4362000,30,80,15267,4
2173,PNB,Automobile,9.25,29,0,969285,17609,11.4,801,318200,7,85,0,4
2174,PNB,Education,9.3,24,1,679706,9357,10.3,800,5182000,15,85,51820,4
2175,PNB,Automobile,9.25,56,1,1913680,21369,12.1,778,399000,7,85,0,4
2176,PNB,Automobile,9.25,27,1,466222,6177,26.9,789,296000,7,85,0,4
2177,PNB,Education,9.3,26,1,1629041,19141,20,779,4006000,15,85,40060,4
2178,PNB,Education,9.3,27,1,1419870,28741,18.8,781,4091000,15,85,40910,4
2179,PNB,Automobile,9.25,53,1,972515,13777,14.8,731,282600,7,85,0,4
2180,PNB,Automobile,9.25,44,0,2347051,14610,12.8,812,586200,7,85,0,4
2181,PNB,Home,7.4,36,0,1373681,12626,20,821,4743000,30,80,16600.5,4
2182,PNB,Education,9.3,51,0,1943890,9039,17,763,3871000,15,85,38710,4
2183,PNB,Education,9.3,36,1,2090627,12213,20,813,5807000,15,85,58070,4
2184,PNB,Home,7.55,32,0,568461,6395,5.5,791,3216000,30,80,11256,4
2185,PNB,Home,7.55,28,0,2088537,50125,22,788,5530000,30,80,19355,4
2186,PNB,Education,9.3,32,0,1014714,19872,14.9,765,2963000,15,85,29630,4
2187,PNB,Automobile,9.25,33,1,764560,23956,13.8,726,420000,7,85,0,4
2188,PNB,Home,7.8,46,0,1099815,9642,16,726,3289000,30,80,11511.5,4
2189,PNB,Home,7.8,31,0,729505,11064,18.4,747,3634000,30,80,12719,4
2190,PNB,Automobile,9.25,46,0,810692,8918,23.2,802,315200,7,85,0,4
2191,PNB,Education,9.3,28,0,1350349,11140,22.3,814,3841000,15,85,38410,4
2192,PNB,Education,9.3,57,1,1254646,15892,17.2,804,3371000,15,85,33710,4
2193,PNB,Home,7.55,37,0,652631,16207,10,759,3048000,30,80,10668,4
2194,PNB,Education,9.3,27,0,665133,1142,31.3,802,2905000,15,85,29050,4
2195,PNB,Automobile,9.25,41,0,1208951,15918,23,821,400900,7,85,0,4
2196,PNB,Automobile,9.25,40,0,2946919,49115,14.8,748,386500,7,85,0,4
2197,PNB,Automobile,9.25,37,1,2078296,17319,16.4,754,583500,7,85,0,4
2198,PNB,Education,9.3,41,0,1433759,21029,20.9,772,4536000,15,85,45360,4
2199,PNB,Automobile,9.25,38,0,1374574,15956,17.7,796,469500,7,85,0,4
2200,PNB,Education,9.3,55,1,439470,12086,14.2,765,5304000,15,85,53040,4
2201,PNB,Home,7.4,35,1,753939,7979,16.2,801,4146000,30,80,14511,4
2202,PNB,Education,9.3,54,1,2132085,23808,16,772,3353000,15,85,33530,4
2203,PNB,Education,9.3,35,1,699732,7405,12,758,2884000,15,85,28840,4
2204,PNB,Education,9.3,34,0,2198110,34437,25,816,3509000,15,85,35090,4
2205,PNB,Automobile,9.25,31,0,1928310,15009,9,794,351800,7,85,0,4
2206,PNB,Education,9.3,27,1,1488365,19225,17.7,811,3103000,15,85,31030,4
2207,PNB,Education,9.3,40,1,2251728,36778,15.4,795,4817000,15,85,48170,4
2208,PNB,Home,7.4,26,0,1120050,10734,15.6,801,3920000,30,80,13720,4
2209,PNB,Education,9.3,29,1,1543408,13633,41.5,822,4667000,15,85,46670,4
2210,PNB,Automobile,9.25,39,0,817152,13755,18.7,795,304800,7,85,0,4
2211,PNB,Home,7.4,43,1,2005583,12167,12.9,820,4512000,30,80,15792,4
2212,PNB,Home,7.55,36,0,1345561,22987,19.4,795,3771000,30,80,13198.5,4
2213,PNB,Education,9.3,35,1,1866180,25193,26,814,3618000,15,85,36180,4
2214,PNB,Education,9.3,28,1,1128144,14854,9.1,726,4170000,15,85,41700,4
2215,PNB,Automobile,9.25,49,0,2210612,34080,12.5,786,596900,7,85,0,4
2216,PNB,Home,7.55,31,1,1139544,14624,13.6,793,2929000,30,80,10251.5,4
2217,PNB,Education,9.3,26,0,924502,24114,15.8,770,2935000,15,85,29350,4
2218,PNB,Home,7.55,43,1,1263785,8552,41.3,759,3871000,30,80,13548.5,4
2219,PNB,Automobile,9.25,27,0,1191794,21949,27.7,762,414300,7,85,0,4
2220,PNB,Automobile,9.25,32,0,1112697,12425,14,798,286200,7,85,0,4
2221,PNB,Automobile,9.25,44,1,763192,3339,15.7,794,283500,7,85,0,4
2222,PNB,Automobile,9.25,36,0,1391123,23997,10.9,685,381700,7,85,0,4
2223,PNB,Home,7.55,32,0,1180356,18335,18.4,761,4179000,30,80,14626.5,4
2224,PNB,Education,9.3,56,0,1611770,15983,22.6,808,3100000,15,85,31000,4
2225,PNB,Automobile,9.25,44,0,1437635,28633,29.7,762,483200,7,85,0,4
2226,PNB,Automobile,9.25,24,0,396853,9888,17.6,754,283200,7,85,0,4
2227,PNB,Education,9.3,56,1,409906,6285,26.6,783,3222000,15,85,32220,4
2228,PNB,Education,9.3,40,0,2265636,14670,18.2,728,4496000,15,85,44960,4
2229,PNB,Automobile,9.25,31,0,1066223,26122,16.3,795,318200,7,85,0,4
2230,PNB,Education,9.3,47,0,1730520,8566,15.2,798,3460000,15,85,34600,4
2231,PNB,Automobile,9.25,33,1,607544,10936,7.3,785,290800,7,85,0,4
2232,PNB,Home,7.4,31,1,942400,7555,24.5,818,3164000,30,80,11074,4
2233,PNB,Education,9.3,32,1,1155276,28208,15.4,804,3176000,15,85,31760,4
2234,PNB,Automobile,9.25,58,0,1086135,13758,10.8,817,349000,7,85,0,4
2235,PNB,Home,7.55,28,1,1707264,17215,27.2,783,4173000,30,80,14605.5,4
2236,PNB,Home,7.55,43,0,1442347,16419,17.3,768,4198000,30,80,14693,4
2237,PNB,Home,7.55,29,0,1555169,33566,14.5,794,4871000,30,80,17048.5,4
2238,PNB,Automobile,9.25,52,0,1382231,17163,19.1,807,351500,7,85,0,4
2239,PNB,Education,9.3,24,0,3030272,33838,28.4,762,3835000,15,85,38350,4
2240,PNB,Education,9.3,33,1,427994,2875,4.9,817,5213000,15,85,52130,4
2241,PNB,Home,7.55,35,0,848084,11378,13.9,786,3033000,30,80,10615.5,4
2242,PNB,Education,9.3,55,0,683240,9565,16.2,815,3320000,15,85,33200,4
2243,PNB,Automobile,9.25,57,0,1580439,18043,16,795,348100,7,85,0,4
2244,PNB,Home,7.55,35,0,945915,14346,6.9,777,3167000,30,80,11084.5,4
2245,PNB,Automobile,9.25,46,0,1354738,18966,16,818,422800,7,85,0,4
2246,PNB,Home,7.55,42,0,2890812,35654,19.7,780,3484000,30,80,12194,4
2247,PNB,Automobile,9.25,26,1,313329,3838,9.8,791,451200,7,85,0,4
2248,PNB,Education,9.3,44,1,958094,11816,17.6,795,4082000,15,85,40820,4
2249,PNB,Home,7.55,39,1,1651024,25591,17.1,779,3167000,30,80,11084.5,4
2250,PNB,Home,7.4,50,1,919562,24521,16.2,813,3036000,30,80,10626,4
2251,PNB,Education,9.3,25,0,700302,6600,19.3,819,3073000,15,85,30730,4
2252,PNB,Education,9.3,27,0,1541128,26841,17.5,751,3518000,15,85,35180,4
2253,PNB,Education,9.3,42,0,956840,19376,18.7,813,3810000,15,85,38100,4
2254,PNB,Education,9.3,59,0,2247605,26222,18.5,791,4850000,15,85,48500,4
2255,PNB,Automobile,9.25,54,1,2017629,31610,15.4,821,333800,7,85,0,4
2256,PNB,Education,9.3,44,0,3081059,54946,16,700,4393000,15,85,43930,4
2257,PNB,Education,9.3,47,0,2063457,28716,35.1,813,3689000,15,85,36890,4
2258,PNB,Home,7.4,33,0,704235,6103,21.6,816,3195000,30,80,11182.5,4
2259,PNB,Automobile,9.25,49,1,1468073,16638,18.6,822,448100,7,85,0,4
2260,PNB,Education,9.3,56,0,380228,7446,9.8,815,2969000,15,85,29690,4
2261,PNB,Home,7.4,49,1,1216361,23111,18.4,801,4414000,30,80,15449,4
2262,PNB,Home,7.4,51,1,756067,13420,32,817,3164000,30,80,11074,4
2263,PNB,Education,9.3,50,1,1206595,7773,8.4,810,3545000,15,85,35450,4
2264,PNB,Automobile,9.25,55,1,663803,6030,18.5,793,635000,7,85,0,4
2265,PNB,Education,9.3,54,0,1972466,16602,25.2,808,3039000,15,85,30390,4
2266,PNB,Education,9.3,26,0,2365158,22863,22.2,814,2978000,15,85,29780,4
2267,PNB,Home,7.4,59,1,1695807,11828,17,821,2896000,30,80,10136,4
2268,PNB,Home,7.8,40,1,971014,24275,16.6,743,4070000,30,80,14245,4
2269,PNB,Automobile,9.25,33,1,3157325,29205,24.1,803,387400,7,85,0,4
2270,PNB,Education,9.3,25,1,3175755,16990,22.9,803,3121000,15,85,31210,4
2271,PNB,Education,9.3,38,0,2233488,30897,16.2,798,2826000,15,85,28260,4
2272,PNB,Home,7.55,38,1,1435811,5277,11.4,799,3362000,30,80,11767,4
2273,PNB,Home,7.55,57,1,661979,6730,13.1,785,3246000,30,80,11361,4
2274,PNB,Home,7.55,47,1,1744713,10759,15.1,770,3731000,30,80,13058.5,4
2275,PNB,Home,7.55,24,1,1594005,10308,19.5,763,4960000,30,80,17360,4
2276,PNB,Automobile,9.25,43,1,842346,13688,6.5,807,305400,7,85,0,4
2277,PNB,Home,7.55,50,0,2660551,43455,8.7,787,4539000,30,80,15886.5,4
2278,PNB,Home,7.55,52,0,1358462,22528,19.7,799,4143000,30,80,14500.5,4
2279,PNB,Education,9.3,38,1,1724307,16956,27.6,817,5280000,15,85,52800,4
2280,PNB,Home,7.4,29,1,802636,9498,8.1,808,2902000,30,80,10157,4
2281,PNB,Education,9.3,49,1,1451315,19230,15.2,742,3810000,15,85,38100,4
2282,PNB,Automobile,9.25,33,0,1480461,17519,14.1,729,346900,7,85,0,4
2283,PNB,Automobile,9.25,48,0,1158924,16322,19.6,819,420400,7,85,0,4
2284,PNB,Home,7.4,43,0,2378876,29538,18,810,6185000,30,80,21647.5,4
2285,PNB,Automobile,9.25,46,0,1677168,21663,19.9,807,499300,7,85,0,4
2286,PNB,Education,9.3,53,0,1580078,25940,15.9,735,2893000,15,85,28930,4
2287,PNB,Home,7.55,35,0,1328005,11509,12.1,761,4841000,30,80,16943.5,4
2288,PNB,Education,9.3,41,0,2932688,5768,13,813,3939000,15,85,39390,4
2289,PNB,Home,7.4,41,0,700758,19154,12.9,808,3082000,30,80,10787,4
2290,PNB,Home,7.55,59,1,896040,20086,22.4,776,4079000,30,80,14276.5,4
2291,PNB,Home,7.8,59,1,676647,9924,22.4,726,3387000,30,80,11854.5,4
2292,PNB,Automobile,9.25,52,0,12574770,31646,16.9,774,489000,7,85,0,4
2293,PNB,Home,7.4,45,0,926592,21543,15.4,804,3179000,30,80,11126.5,4
2294,PNB,Home,7.55,58,0,1685091,12568,16,781,4103000,30,80,14360.5,4
2295,PNB,Education,9.3,47,1,891480,16790,13.6,789,3887000,15,85,38870,4
2296,PNB,Home,7.55,31,0,374604,7835,12.5,783,2862000,30,80,10017,4
2297,PNB,Automobile,9.25,59,0,833625,1744,12.5,821,282600,7,85,0,4
2298,PNB,Education,9.3,53,0,996835,12626,11.8,808,4155000,15,85,41550,4
2299,PNB,Home,7.55,38,1,2054052,46901,14.5,795,3817000,30,80,13359.5,4
2300,PNB,Education,9.3,39,1,1906688,15317,16.5,817,5801000,15,85,58010,4
2301,PNB,Home,7.8,47,1,1253772,26643,10.4,737,3179000,30,80,11126.5,4
2302,PNB,Home,7.55,45,0,717687,10347,22.1,795,3182000,30,80,11137,4
2303,PNB,Education,9.3,27,1,544217,13424,9.4,759,3124000,15,85,31240,4
2304,PNB,Education,9.3,35,1,2620917,24243,15,776,2978000,15,85,29780,4
2305,PNB,Education,9.3,35,1,1938646,4879,19.8,811,2966000,15,85,29660,4
2306,PNB,Home,7.4,31,1,1258218,12163,14,807,3045000,30,80,10657.5,4
2307,PNB,Education,9.3,38,0,684684,9928,37,753,3536000,15,85,35360,4
2308,PNB,Automobile,9.25,45,0,1616463,11504,25,815,330400,7,85,0,4
2309,PNB,Home,7.55,48,1,624359,8377,14.5,794,3475000,30,80,12162.5,4
2310,PNB,Education,9.3,44,1,1279118,20039,12.4,772,3996000,15,85,39960,4
2311,PNB,Education,9.3,57,0,665874,3746,9.2,783,2957000,15,85,29570,4
2312,PNB,Automobile,9.25,44,0,1517568,5021,19.2,811,447500,7,85,0,4
2313,PNB,Automobile,9.25,33,1,809818,23282,13,756,328000,7,85,0,4
2314,PNB,Home,7.55,40,1,2789580,17412,21,800,4469000,30,80,15641.5,4
2315,PNB,Home,7.8,26,0,1180128,9057,22.8,736,4603000,30,80,16110.5,4
2316,PNB,Automobile,9.25,25,0,1428420,23367,21.8,820,337100,7,85,0,4
2317,PNB,Education,9.3,35,1,850820,11911,20.9,797,3810000,15,85,38100,4
2318,PNB,Education,9.3,52,1,1352876,11950,14.6,802,3249000,15,85,32490,4
2319,PNB,Education,9.3,43,0,939455,9551,19.1,771,3161000,15,85,31610,4
2320,PNB,Home,7.55,54,1,998982,14069,31,776,3820000,30,80,13370,4
2321,PNB,Automobile,9.25,59,0,654835,10477,5.7,712,319200,7,85,0,4
2322,PNB,Education,9.3,49,0,1099302,19146,16.5,806,4234000,15,85,42340,4
2323,PNB,Education,9.3,30,1,1101202,12655,18.5,805,3993000,15,85,39930,4
2324,PNB,Home,7.55,35,0,389139,8042,6.4,790,4451000,30,80,15578.5,4
2325,PNB,Education,9.3,34,1,850991,9928,7.1,819,3033000,15,85,30330,4
2326,PNB,Automobile,9.25,45,1,3182728,55963,30,773,479800,7,85,0,4
2327,PNB,Automobile,9.25,50,0,572679,5536,9.2,805,340200,7,85,0,4
2328,PNB,Education,9.3,24,1,1123698,13952,18.5,820,3506000,15,85,35060,4
2329,PNB,Education,9.3,33,0,1892134,34374,13.4,783,3432000,15,85,34320,4
2330,PNB,Automobile,9.25,35,1,2641760,18955,32.2,760,481400,7,85,0,4
2331,PNB,Automobile,9.25,41,0,1223524,37827,19.5,791,329500,7,85,0,4
2332,PNB,Automobile,9.25,28,1,1678023,17619,13.2,759,293500,7,85,0,4
2333,PNB,Automobile,9.25,24,0,789355,11183,8.6,801,382300,7,85,0,4
2334,PNB,Automobile,9.25,41,1,1662994,21203,10.7,777,410900,7,85,0,4
2335,PNB,Automobile,9.25,56,1,669275,2923,21.6,750,329200,7,85,0,4
2336,PNB,Automobile,9.25,57,1,890777,24125,19.1,751,374000,7,85,0,4
2337,PNB,Home,7.8,42,0,1067306,28728,12.9,744,3417000,30,80,11959.5,4
2338,PNB,Home,7.55,55,0,3428189,30282,15.9,759,2957000,30,80,10349.5,4
2339,PNB,Education,9.3,30,0,2313972,31817,20.4,820,5871000,15,85,58710,4
2340,PNB,Education,9.3,37,1,2272704,18655,11.5,784,3835000,15,85,38350,4
2341,PNB,Education,9.3,33,1,1782428,18418,17.1,820,3033000,15,85,30330,4
2342,PNB,Home,7.55,47,1,691049,6565,6.5,774,3009000,30,80,10531.5,4
2343,PNB,Automobile,9.25,29,1,1925080,14534,20.5,821,331400,7,85,0,4
2344,PNB,Automobile,9.25,50,0,1125978,22351,18.1,822,460300,7,85,0,4
2345,PNB,Education,9.3,52,1,1821910,20800,15.5,697,4359000,15,85,43590,4
2346,PNB,Home,7.4,29,0,1005784,12572,18.5,820,3317000,30,80,11609.5,4
2347,PNB,Automobile,9.25,33,1,1729836,31858,26.2,771,470400,7,85,0,4
2348,PNB,Home,7.4,40,1,1138841,19550,8.8,815,3024000,30,80,10584,4
2349,PNB,Automobile,9.25,49,1,1014714,9724,19.1,803,329500,7,85,0,4
2350,PNB,Education,9.3,50,1,519669,3365,31.7,790,5091000,15,85,50910,4
2351,PNB,Automobile,9.25,28,0,972876,746,15.6,817,382000,7,85,0,4
2352,PNB,Home,7.55,39,0,618146,9993,16.5,800,3228000,30,80,11298,4
2353,PNB,Automobile,9.25,50,0,1037267,5454,32.1,789,301800,7,85,0,4
2354,PNB,Home,7.55,30,0,1513464,4717,25.3,793,4591000,30,80,16068.5,4
2355,PNB,Education,9.3,25,1,2720572,50784,23.8,770,4484000,15,85,44840,4
2356,PNB,Home,7.55,41,0,876565,4456,9.8,784,3234000,30,80,11319,4
2357,PNB,Automobile,9.25,50,1,1419794,17037,31.4,784,478300,7,85,0,4
2358,PNB,Education,9.3,33,0,970805,18445,18.8,810,3182000,15,85,31820,4
2359,PNB,Home,7.55,44,0,961077,22825,17.9,799,4115000,30,80,14402.5,4
2360,PNB,Home,7.4,58,0,2115536,46365,33.1,808,3807000,30,80,13324.5,4
2361,PNB,Automobile,9.25,58,1,1455172,31650,20,779,388100,7,85,0,4
2362,PNB,Home,7.55,41,1,842346,9757,20.5,789,3371000,30,80,11798.5,4
2363,PNB,Home,7.4,35,0,1787501,23982,11,818,3826000,30,80,13391,4
2364,PNB,Automobile,9.25,29,1,925680,17665,15.9,730,283800,7,85,0,4
2365,PNB,Automobile,9.25,54,0,1586101,11565,7,788,319500,7,85,0,4
2366,PNB,Home,7.4,45,0,1000445,25595,13.8,818,3176000,30,80,11116,4
2367,PNB,Automobile,9.25,51,1,1492697,485,13,822,491100,7,85,0,4
2368,PNB,Automobile,9.25,43,0,2879621,30476,17,822,391100,7,85,0,4
2369,PNB,Education,9.3,52,0,1358329,24450,16.9,804,4670000,15,85,46700,4
2370,PNB,Automobile,9.25,46,1,1252005,8597,11,814,450900,7,85,0,4
2371,PNB,Automobile,9.25,28,0,998298,10898,15.7,819,283500,7,85,0,4
2372,PNB,Automobile,9.25,46,1,1968742,48726,15,799,391400,7,85,0,4
2373,PNB,Home,7.55,41,1,1153338,14993,15.2,800,3841000,30,80,13443.5,4
2374,PNB,Education,9.3,30,0,558220,1042,27,819,3176000,15,85,31760,4
2375,PNB,Education,9.3,31,0,1218945,9701,21,816,3176000,15,85,31760,4
2376,PNB,Home,7.55,46,1,556035,11306,27.3,762,3582000,30,80,12537,4
2377,PNB,Home,7.8,50,0,717136,12789,21.7,723,3182000,30,80,11137,4
2378,PNB,Automobile,9.25,30,1,1263158,7274,10.2,808,318500,7,85,0,4
2379,PNB,Education,9.3,57,1,1929830,25249,11,768,4884000,15,85,48840,4
2380,PNB,Automobile,9.25,46,1,1184004,22003,22.3,761,423100,7,85,0,4
2381,PNB,Home,7.8,50,0,1217102,15214,13.5,704,3332000,30,80,11662,4
2382,PNB,Home,7.4,40,0,1652278,15421,9.4,817,4682000,30,80,16387,4
2383,PNB,Education,9.3,33,1,1892210,28699,11.3,789,5618000,15,85,56180,4
2384,PNB,Education,9.3,55,0,275044,287,10.5,816,3036000,15,85,30360,4
2385,PNB,Home,7.55,53,1,1025164,24006,13,767,3564000,30,80,12474,4
2386,PNB,Automobile,9.25,37,1,750500,13697,14.7,811,381000,7,85,0,4
2387,PNB,Automobile,9.25,39,0,639787,12049,33.5,803,316100,7,85,0,4
2388,PNB,Education,9.3,34,0,700074,16919,25.6,818,3277000,15,85,32770,4
